Study,Species common name,Species,Regne,Phyla,Classe,Ordre,Factor,Factor variation,Crossing/wild,Method,Type of h? (narrow / broad),comment,Which is stressful?,Stress (heat/acidity/drought/wet),trait,trait type (lht/morpho/physio/behav),error type,h? mild environment,se h? mild,range of CI mild,SE m,h? harsh environment,se h? harsh environment,range of CI harsh,SE h,error type,evolvability mild environment,se evolvability mild environment,evolvability harsh environment,se evolvability harsh environment,error type,Evol_Mild,Evol_Harsh,Va mild environment,se Va mild environment,Va harsh environment,se Va harsh environment,Vp mild,Vp harsh,mean mild,se mean mild,mean harsh,se mean harsh,ISSN,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Early Access Date,UT (Unique WOS ID)
1,Fruitfly,Drosophila melanogaster,Aniimalia,Arthropoda,Insecta,Diptera,temperature (fluctuating or constant),Lab experiment,Isogenic lines,Variance among lines (Broad sense heritability),broad sense,constant,heat (constant),heat,Mating success,LHT,,0.12,,,NA,0.26,,,NA,,,,,,,,,,,,,3.63,4.396,0.54,0.034,0.48,0.48,0021-8790,2022,91,2,391,403,,10.1111/1365-2656.13636,21-nov,WOS:000722060800001
1,Fruitfly,Drosophila melanogaster,Aniimalia,Arthropoda,Insecta,Diptera,temperature (fluctuating or constant),Lab experiment,Isogenic lines,Variance among lines (Broad sense heritability),broad sense,Fluctuating,heat (fluctuating),heat,Mating success,LHT,,0.21,,,NA,0.35,,,NA,,,,,,,,,,,,,4.163,5.103,0.7,0.029,0.27,0.027,,,,,,,,,,
1,Fruitfly,Drosophila melanogaster,Aniimalia,Arthropoda,Insecta,Diptera,temperature (fluctuating or constant),Lab experiment,Isogenic lines,Variance among lines (Broad sense heritability),broad sense,constant,heat (constant),heat,Fertility,LHT,,,,,,0.64,,,,,,,15.964,,,,15.964,,,,,NA,9.146,0.97,0.012,0.9,0.018,,,,,,,,,,
1,Fruitfly,Drosophila melanogaster,Aniimalia,Arthropoda,Insecta,Diptera,temperature (fluctuating or constant),Lab experiment,Isogenic lines,Variance among lines (Broad sense heritability),broad sense,Fluctuating,heat (fluctuating),heat,Fertility,LHT,,0.0012,,,NA,0.763,,,NA,,0.438,,54.068,,,0.438,54.068,,,,,3.703,13.9,0.95,0.014,0.68,0.029,,,,,,,,,,
1,Fruitfly,Drosophila melanogaster,Aniimalia,Arthropoda,Insecta,Diptera,temperature (fluctuating or constant),Lab experiment,Isogenic lines,Variance among lines (Broad sense heritability),broad sense,"Include evolvability, avg from High lines but used model predictions to assess evolvability",heat (constant),heat,Productivity,LHT,,0.028,,,NA,0.608,,,NA,none,0.00191,,0.494,,,0.00191,0.494,,,,,9.915,35.19,38.8,0.91,34.3,0.98,,,,,,,,,,
1,Fruitfly,Drosophila melanogaster,Aniimalia,Arthropoda,Insecta,Diptera,temperature (fluctuating or constant),Lab experiment,Isogenic lines,Variance among lines (Broad sense heritability),broad sense,,heat (fluctuating),heat,Productivity,LHT,,0.099,,,NA,0.67,,,NA,none,0.007362,,0.077,,,0.007362,0.077,,,,,11.859,14.31,42.57,1.03,17.54,0.99,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,"Only take heat OR acidity, extraction from Fig S1 / Low power from the design",acidity,acidity,Buoyant weight,Morphology,95% CI,0.25,"[0.02,0.50]",0.48,0.12244898,0.25,"[0.02,0.52]",0.5,0.12755102,,,,,,,,,,,,,,,,,,,0962-8452,2021,288,1960,,,20210923,10.1098/rspb.2021.0923,,WOS:000707866700003
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,Buoyant weight,Morphology,95% CI,0.25,"[0.02,0.50]",0.48,0.12244898,0.25,"[0.03,0.51]",0.48,0.12244898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,Light calcification,Morphology,95% CI,0.07,"[0.007,0.34]",0.333,0.08494898,0.21,"[0.012, 0.44]",0.428,0.109183673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,Light calcification,Morphology,95% CI,0.07,"[0.007,0.34]",0.333,0.08494898,0.13,"[0.01,0.32]",0.31,0.079081633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
